Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	kəlaŋ	nan	nan	('sky', 'adon1237', 'ˈkɜlɜ')	nan	133. Langit 
1	sun	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	rəra	nan	nan	('sun', 'adon1237', 'ˈrɜra')	nan	134. Matahari 
3	star	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	e təp	should there be a space?	nan	"('star', 'alor1247-baran', ""ta'mala"")"	nan	135. Bintang 
4	night	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	rəmã	nan	nan	('night', 'adon1237', 'ˈrɜmaʔ')	nan	171. Malam 
5	day	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	rərõ	nan	nan	"('day', 'adon1237', ""rɜ'_rɔ̃"")"	nan	173. Hari 
6	year	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	tuŋ	nan	nan	('year', 'abui1241-petle', 'tuŋ')	nan	172. Tahun 
13	cloud	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	kowa	nan	nan	('cloud', 'abui1241-fuime', 'kabuti')	nan	136. Awan 
14	wind	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	aŋi	nan	nan	('all', 'adon1237', 'ˈwahã_ˈkaeʔ')	nan	140. Angin 
15	rain	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	urã	nan	nan	('rain', 'adon1237', 'ˈʔurɑŋ')	nan	138. Hujan 
22	river; stream	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	waimənaʔaŋ	nan	nan	('river; stream', 'cent2245-hewa', 'wair_ba')	nan	130. Sungai 
25	lake	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	liwo	nan	nan	"('lake', 'adon1237', ""'liwo"")"	nan	129. Danau 
26	mountain	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	ile	nan	nan	"('mountain', 'adon1237', ""'ʔile"")"	nan	131. Gunung 
30	Earth	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	tana	nan	nan	('Earth', 'cent2245-hewa', 'tana')	nan	119. Tanah 
32	stone	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	wato	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan	120. Batu 
35	water (fresh)	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	wai	nan	nan	"('water (fresh)', 'adon1237', ""'wɑi"")"	nan	122. Air 
36	sea; sea water	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	tahik	nan	nan	('sea; sea water', 'cent2245-hewa', 'tahiʔ')	nan	127. Laut 
39	forest	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	utan	nan	nan	"('forest', 'alor1247-baran', ""u'tɑŋ"")"	nan	132. Hutan
45	road; path; way	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	rarã	nan	nan	"('road; path; way', 'adon1237', ""'rarã"")"	nan	7. Jalan
51	rope	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	tale	nan	nan	('rope', 'lama1277-baipi', 'tale')	nan	65. Tali
65	clothing	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	alelolo	nan	nan	('clothing', 'adon1237', 'aleˈlolo')	nan	68. Pakaian 
67	fire	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	ape	nan	nan	('fire', 'adon1237', 'ˈʔape')	nan	148. Api 
68	smoke	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	nuhuŋ	nan	nan	('smoke', 'adon1237', 'ˈnuhũ')	nan	150. Asap 
70	dust; fine earth	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	əmu	nan	nan	('dust; fine earth', 'cent2245-hewa', 'awu')	nan	15. Debu
70	dust; fine earth	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	kaʔwuk	nan	nan	('dust; fine earth', 'cent2245-hewa', 'awu')	nan	151. Abu 
75	sand	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	wəra	nan	nan	('sand', 'adon1237', 'ˈwɜra')	nan	121. Pasir 
76	grass; brush	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	luʔo	nan	nan	('grass; brush', 'cent2245-hewa', 'riʔi')	nan	118. Rumput 
84	tree	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	kajo	nan	nan	('tree', 'adon1237', 'ˈkajo')	nan	110. Pohon 
87	leaf	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	lolõ	nan	nan	('leaf', 'adon1237', 'ˈlolõ')	nan	112. Daun 
91	root	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	amutã	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan	114. Akar 
92	fruit	lama1277-lamak	Lamaholot-Lamakera	Austronesian	9Solor, 2East	wuã	nan	nan	('below', 'adon1237', 'leˈrerˈʔẽ,_lali_laŋũ')	nan	117. Buah 
