Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	kəlã	nan	nan	('sky', 'kama1365', 'deliŋ')	nan	133. Langit 
1	sun	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	ləra	nan	nan	"('sun', 'alor1247-baran', ""la'ra"")"	nan	134. Matahari 
3	star	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	pətala	nan	nan	"('star', 'alor1247-baran', ""ta'mala"")"	nan	135. Bintang 
4	night	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	rəmã	nan	nan	('night', 'lama1277-adona', 'ˈrɜmaʔ')	nan	171. Malam 
5	day	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	rərõ	nan	nan	"('day', 'alor1247-besar', ""la'ra"")"	nan	173. Hari 
6	year	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	tũ	nan	nan	('year', 'abui1241-petle', 'tuŋ')	nan	172. Tahun 
13	cloud	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	abak	nan	nan	('cloud', 'abui1241-fuime', 'kabuti')	nan	136. Awan 
14	wind	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	aŋi	nan	nan	"('wind', 'alor1247-baran', ""'aŋi"")"	nan	140. Angin 
15	rain	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	urã	nan	nan	"('rain', 'alor1247-besar', ""'uraŋ"")"	nan	138. Hujan 
22	river; stream	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	wai	nan	nan	('river; stream', 'lama1277-baipi', 'wai_ba')	nan	130. Sungai 
25	lake	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	liwo	nan	nan	"('lake', 'lama1277-adona', ""'liwo"")"	nan	129. Danau 
26	mountain	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	ile	nan	nan	('mountain', 'alor1249-sar-n', 'yihil')	nan	131. Gunung 
30	Earth	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	tana	nan	nan	('Earth', 'lama1277-baipi', 'tana')	nan	119. Tanah 
32	stone	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	wato	nan	nan	"('stone', 'alor1247-baran', ""'fato"")"	nan	120. Batu 
35	water (fresh)	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	wai	nan	nan	"('water (fresh)', 'alor1247-besar', ""'fei"")"	nan	122. Air 
36	sea; sea water	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	tahik	nan	nan	('sea; sea water', 'lama1277-baipi', 'tahik')	nan	127. Laut 
39	forest	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	rukã	nan	nan	"('forest', 'lama1277-adona', ""'ruːkʔãː"")"	nan	132. Hutan
45	road; path; way	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	larã	nan	nan	('road; path; way', 'lama1277-baipi', 'rarã')	nan	7. Jalan
51	rope	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	tale	nan	nan	('rope', 'lama1277-baipi', 'tale')	nan	65. Tali
65	clothing	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	alelolo	nan	nan	('clothing', 'kafo1240', 'ʔɑlɑl')	nan	68. Pakaian 
67	fire	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	ape	nan	nan	"('fire', 'alor1247-baran', ""a'pe:"")"	nan	148. Api 
68	smoke	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	nuhu	nan	nan	"('smoke', 'alor1247-besar', ""pa'nuhuŋ"")"	nan	150. Asap 
70	dust; fine earth	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	əmut	nan	nan	('dust; fine earth', 'lama1277-baipi', 'kəawuk')	nan	15. Debu
70	dust; fine earth	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	kəʔawuk	nan	nan	('dust; fine earth', 'lama1277-baipi', 'kəawuk')	nan	151. Abu 
75	sand	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	wəra	nan	nan	"('sand', 'keda1252', ""'ʔerah"")"	nan	121. Pasir 
76	grass; brush	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	8Lembata	kərəmət	nan	nan	('grass; brush', 'lama1277-baipi', 'kərəmət')	nan	118. Rumput 
