Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	keda1252	Kedang	Austronesian	8Lembata	ʔɛ'leŋ	There is a phonemic distinction between initial syllables that have an onsetless vowel, and initial syllables that have a glottal stop onset. There is no phonemic distinction between e'ɛ and o'ɔ and i'ɪ.	ʔ ɛ ˈl e ŋ - - -	"('sky', 'pura1258', ""'buraŋ"")"	nan		
1.0	sun	keda1252	Kedang	Austronesian	8Lembata	lɔ'jɔ	nan	l ɔ ˈj ɔ - - - - - -	"('sun', 'alor1249-besar', ""la'raː"")"	nan		
2.0	moon	keda1252	Kedang	Austronesian	8Lembata	wu'la	nan	w u ˈl a - - ( - - - - - - - - )	('moon', 'alor1249-besar', 'fulaŋ')	nan		
3.0	star	keda1252	Kedang	Austronesian	8Lembata	ma'le	nan	- - m a ˈl e	"('star', 'keda1252', ""ma'le"")"	nan		
4.0	night	keda1252	Kedang	Austronesian	8Lembata	u'bɛn	nan	u ˈb ɛ n	"('night', 'keda1252', ""u'bɛn"")"	nan		
5.0	day	keda1252	Kedang	Austronesian	8Lembata	lɔ'jɔ	nan	l ɔ ˈj ɔ - - - -	"('day', 'keda1252', ""lɔ'jɔ"")"	nan		
6.0	year	keda1252	Kedang	Austronesian	8Lembata	tun	nan	t u n	('year', 'keda1252', 'tun')	nan		
7.0	morning	keda1252	Kedang	Austronesian	8Lembata	ʔɛ'jəŋ	nan	ʔ ɛ ˈj ə ŋ	"('morning', 'keda1252', ""ʔɛ'jəŋ"")"	nan		
8.0	yesterday	keda1252	Kedang	Austronesian	8Lembata	ʔɛ'wɪn	nan	ʔ ɛ ˈw ɪ - n	"('yesterday', 'keda1252', ""ʔɛ'wɪn"")"	nan		
9.0	day before yesterday	keda1252	Kedang	Austronesian	8Lembata	numɛn 'ɛwin	nan	n u m ɛ n _ ˈɛ w i n	"('day before yesterday', 'keda1252', ""numɛn 'ɛwin"")"	nan		
