Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	'bulaŋ	nan	b ú l a ŋ - - -	"('sky', 'alor1247-pandai', ""'kalːeŋ"")"	datasets/Blagar-Bakalang.tsv		
1	sun	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	ved	nan	v e d - - - -	('sun', 'abui1241-fuime', 'wari')	datasets/Blagar-Bakalang.tsv		
2	moon	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	'huru	nan	h ú r u - - ( - - - - - - - - )	('moon', 'adan1251-lawah', 'hu:l')	datasets/Blagar-Bakalang.tsv		
3	star	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	id	nan	- i d -	('star', 'baka1276', 'id')	datasets/Blagar-Bakalang.tsv		
4	night	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	kamaluŋ	nan	k a m a l u ŋ -	('night', 'baka1276', 'kamaluŋ')	datasets/Blagar-Bakalang.tsv		
5	day	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	ved	nan	v e d	('day', 'adan1251-lawah', 'wɛd saha')	datasets/Blagar-Bakalang.tsv		
7	morning	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	hurak veŋ	nan	h u r a k _ v e ŋ	('morning', 'baka1276', 'hurak veŋ')	datasets/Blagar-Bakalang.tsv		
8	yesterday	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	mə'leŋ	nan	m ə l - - é ŋ - - -	('yesterday', 'alor1249-sar-a', 'məlah')	datasets/Blagar-Bakalang.tsv		
9	day before yesterday	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	edaŋ aru	nan	- e d a - - ŋ - _ - a - - r u - -	('day before yesterday', 'adan1251-lawah', 'ʔotariŋ alumi')	datasets/Blagar-Bakalang.tsv		
10	tomorrow	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	'tobaŋ	nan	t ó b a - ŋ -	('tomorrow', 'baka1276', 'tóbaŋ')	datasets/Blagar-Bakalang.tsv		
11	day after tomorrow	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	tiaŋ aru	nan	- - t i - a ŋ _ a - - r u	('day after tomorrow', 'alor1249-sar-a', 'tiraq')	datasets/Blagar-Bakalang.tsv		
12	twilight; dawn	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	bil ʤara abuŋ	nan	b i l _ j a r a _ a b u ŋ	('twilight; dawn', 'baka1276', 'bil jara abuŋ')	datasets/Blagar-Bakalang.tsv		
13	cloud	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	bənaw	nan	b ə n a w - -	('cloud', 'baka1276', 'bənaw')	datasets/Blagar-Bakalang.tsv		
14	wind	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	'enar	nan	- é n a r - - - - - -	"('wind', 'alor1247-baran', ""'aŋi"")"	datasets/Blagar-Bakalang.tsv		
15	rain	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	noar	nan	- - n o a r	('rain', 'abui1241-fuime', 'anui')	datasets/Blagar-Bakalang.tsv		
17	rainbow	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	lia	nan	l i a	('rainbow', 'baka1276', 'lia')	datasets/Blagar-Bakalang.tsv		
18	thunder	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	lal	bunyinya	l a l	('thunder', 'baka1276', 'lal')	datasets/Blagar-Bakalang.tsv		
19	lightning	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	bil mə'lelak	kilatan, cahaya	b i l _ m ə l é - l a k	('lightning', 'baka1276', 'bil məlélak')	datasets/Blagar-Bakalang.tsv		
20	earthquake	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	por ota	nan	p o r _ - o t - - a -	('earthquake', 'baka1276', 'por ota')	datasets/Blagar-Bakalang.tsv		
21	fog	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	bənaw koko	kabut = fog, NOT embun = air yang menetes dari daun di pagi hari	b ə n a w _ - k o k o	('fog', 'baka1276', 'bənaw koko')	datasets/Blagar-Bakalang.tsv		
22	river; stream	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	mual	nan	m u - a l	('river; stream', 'adan1251-lawah', 'møl')	datasets/Blagar-Bakalang.tsv		
26	mountain	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	pondo	nan	p o n d o	"('mountain', 'alor1247-baran', ""'foto"")"	datasets/Blagar-Bakalang.tsv		
27	hill; ridge	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	pondo	nan	p o n d o -	('hill; ridge', 'baka1276', 'pondo')	datasets/Blagar-Bakalang.tsv		
28	village	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	'abaŋ	nan	- á b a ŋ -	('village', 'adan1251-lawah', 'baŋ ʔɛme')	datasets/Blagar-Bakalang.tsv		
29	land; soil	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	por	nan	p o r	('land; soil', 'baka1276', 'por')	datasets/Blagar-Bakalang.tsv		
30	Earth	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	por	nan	p o r	('Earth', 'alor1249-sar-a', 'por')	datasets/Blagar-Bakalang.tsv		
31	hole	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	ʤow	nan	j o w	('hole', 'baka1276', 'jow')	datasets/Blagar-Bakalang.tsv		
32	stone	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	var	nan	v a r -	('stone', 'abui1241-fuime', 'vi')	datasets/Blagar-Bakalang.tsv		
33	coral (rock)	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	koka	batu (rock) di pantai	k o k a -	('coral (rock)', 'baka1276', 'koka')	datasets/Blagar-Bakalang.tsv		
34	(coral) reef	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	tomu	karang (reef) di dasar laut	nan	"('(coral) reef', 'alor1249-sar-a', ""'tomi"")"	datasets/Blagar-Bakalang.tsv		
35	water (fresh)	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	ʤar	nan	- j a r -	('water (fresh)', 'abui1241-fuime', 'je')	datasets/Blagar-Bakalang.tsv		
36	sea; sea water	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	taŋ	nan	t a ŋ -	('sea; sea water', 'abui1241-fuime', 'tama')	datasets/Blagar-Bakalang.tsv		
37	wave	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	buat	nan	b u a t - - -	"('wave', 'alor1249-sar-a', ""bu'at"")"	datasets/Blagar-Bakalang.tsv		
38	foam	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	taŋ ul	nan	t a ŋ - - _ - u l - -	('foam', 'alor1249-sar-a', 'ul')	datasets/Blagar-Bakalang.tsv		
39	forest	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	rehe	nan	- - r e h e - - -	"('forest', 'alor1247-munas', ""'dɛhɛk"")"	datasets/Blagar-Bakalang.tsv		
40	field	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	dadi	nan	d a d i	('field', 'baka1276', 'dadi')	datasets/Blagar-Bakalang.tsv		
43	garden	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	bil	nan	b i l	('garden', 'adan1251-lawah', 'dil')	datasets/Blagar-Bakalang.tsv		
45	road; path; way	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	via	nan	v i a -	('road; path; way', 'baka1276', 'via')	datasets/Blagar-Bakalang.tsv		
46	canoe	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	1Pantar, 2East	ʤe	nan	j e	('canoe', 'baka1276', 'je')	datasets/Blagar-Bakalang.tsv		
