Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	blag1240-kulij	Blagar-Kulijahi	Timor-Alor-Pantar	1Pantar, 2East	bulan	nan	b u l a n - - -	"('sky', 'alor1247-pandai', ""'kalːeŋ"")"	datasets/Blagar-Kulijahi.tsv		
1	sun	blag1240-kulij	Blagar-Kulijahi	Timor-Alor-Pantar	1Pantar, 2East	ved en	nan	v e d _ e n -	('sun', 'abui1241-fuime', 'wari')	datasets/Blagar-Kulijahi.tsv		
1	sun	blag1240-kulij	Blagar-Kulijahi	Timor-Alor-Pantar	1Pantar, 2East	wed en	nan	w e d _ e n -	('sun', 'abui1241-fuime', 'wari')	datasets/Blagar-Kulijahi.tsv		
2	moon	blag1240-kulij	Blagar-Kulijahi	Timor-Alor-Pantar	1Pantar, 2East	uru	nan	nan	('moon', 'abui1241-fuime', 'ije')	datasets/Blagar-Kulijahi.tsv		
3	star	blag1240-kulij	Blagar-Kulijahi	Timor-Alor-Pantar	1Pantar, 2East	id	nan	- i d -	('star', 'baka1276', 'id')	datasets/Blagar-Kulijahi.tsv		
4	night	blag1240-kulij	Blagar-Kulijahi	Timor-Alor-Pantar	1Pantar, 2East	kamaluŋ	nan	k a m a l u n g	('night', 'baka1276', 'kamaluŋ')	datasets/Blagar-Kulijahi.tsv		
5	day	blag1240-kulij	Blagar-Kulijahi	Timor-Alor-Pantar	1Pantar, 2East	ved	nan	v e d	('day', 'adan1251-lawah', 'wɛd saha')	datasets/Blagar-Kulijahi.tsv		
5	day	blag1240-kulij	Blagar-Kulijahi	Timor-Alor-Pantar	1Pantar, 2East	wed	nan	w e d	('day', 'adan1251-lawah', 'wɛd saha')	datasets/Blagar-Kulijahi.tsv		
7	morning	blag1240-kulij	Blagar-Kulijahi	Timor-Alor-Pantar	1Pantar, 2East	hurak weg	nan	h u r a k _ w e g	('morning', 'baka1276', 'hurak veŋ')	datasets/Blagar-Kulijahi.tsv		
8	yesterday	blag1240-kulij	Blagar-Kulijahi	Timor-Alor-Pantar	1Pantar, 2East	məlleŋ	nan	m ə ll - - e n g - -	('yesterday', 'alor1249-sar-a', 'məlah')	datasets/Blagar-Kulijahi.tsv		
